model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 Kuga,2017,Manual,21250,Diesel,0,79.3,1.5,9855
 Mondeo,2018,Automatic,3868,Hybrid,142,59.1,2.0,16061
 Focus,2019,Semi-Auto,14240,Diesel,145,74.3,1.5,14095
 Mondeo,2017,Automatic,37557,Hybrid,200,64.6,2.0,18484
 Kuga,2017,Semi-Auto,29024,Diesel,145,64.0,1.5,12948
 Fiesta,2018,Manual,6370,Petrol,145,60.4,1.0,9687
 Puma,2018,Manual,1832,Petrol,144,51.2,1.0,21202
 S-MAX,2016,Automatic,87707,Diesel,125,50.0,2.0,14514
 Galaxy,2016,Automatic,29552,Diesel,126,55.2,2.0,15598
 Fiesta,2018,Manual,13217,Petrol,145,65.2,1.5,9202
 Kuga,2017,Automatic,31863,Diesel,144,55.5,2.0,20565
 Puma,2018,Manual,2220,Petrol,144,53.5,1.0,11513
 Kuga,2007,Semi-Auto,27668,Diesel,145,42.8,2.0,24498
 Kuga,2010,Automatic,14176,Petrol,151,50.3,1.6,14274
 Focus,2017,Semi-Auto,10802,Petrol,145,60.7,1.0,9740
 Kuga,2017,Semi-Auto,15152,Diesel,146,54.6,2.0,16361
 Mondeo,2019,Automatic,1253,Hybrid,143,40.1,2.0,22527
 B-MAX,2014,Manual,28684,Diesel,23,65.3,1.6,6511
 Fiesta,2018,Manual,29421,Petrol,153,54.0,1.1,7830
 C-MAX,2017,Automatic,19816,Diesel,145,38.8,1.5,10400
 Mondeo,2017,Semi-Auto,21431,Diesel,145,53.3,2.0,13305
 Fiesta,2018,Manual,24699,Petrol,145,57.4,1.1,12567
 S-MAX,2016,Semi-Auto,27727,Hybrid,127,59.3,2.0,14164
 Fiesta,2018,Manual,12197,Petrol,145,64.8,1.0,9466
 C-MAX,2017,Manual,41873,Diesel,31,64.7,1.5,12428
 Focus,2018,Manual,11605,Petrol,145,61.0,1.0,13102
 Galaxy,2017,Semi-Auto,21523,Diesel,146,53.2,2.0,16280
 Ranger,2017,Manual,45336,Diesel,200,56.1,2.0,14792
 Kuga,2020,Semi-Auto,29355,Diesel,145,54.5,2.0,18201
 Focus,2016,Manual,22467,Diesel,126,75.2,1.5,8176
 Focus,2019,Manual,23971,Diesel,145,73.8,1.5,12712
 Focus,2017,Manual,2919,Petrol,145,58.5,1.0,17640
 Fusion,2008,Manual,121826,Petrol,259,37.4,1.5,495
 Focus,2014,Manual,40720,Petrol,31,48.2,1.2,6953
 Mondeo,2019,Automatic,1170,Hybrid,144,54.5,2.0,18109
 Fiesta,2018,Automatic,10606,Petrol,144,47.3,1.5,11961
 Focus,2019,Automatic,10690,Petrol,145,58.5,1.0,16496
 Fiesta,2015,Semi-Auto,15134,Diesel,21,64.3,2.0,18346
 Fiesta,2019,Manual,3718,Petrol,145,63.7,1.0,15216
 Kuga,2017,Semi-Auto,18860,Diesel,146,57.0,2.0,13842
 Fiesta,2017,Manual,15018,Petrol,0,66.6,1.0,9461
 Fiesta,2017,Manual,1762,Petrol,124,54.9,1.2,8713
 EcoSport,2018,Automatic,13946,Petrol,145,45.1,1.0,11529
 B-MAX,2016,Manual,32015,Petrol,20,62.6,1.0,9232
 Fiesta,2019,Manual,2383,Petrol,151,41.9,1.5,9744
 Focus,2016,Manual,27789,Petrol,125,59.5,1.0,12832
 Mondeo,2014,Manual,114338,Diesel,208,37.4,1.6,1252
 Fiesta,2017,Manual,29050,Petrol,24,47.4,1.2,8021
 Grand C-MAX,2016,Automatic,30384,Diesel,32,58.2,2.0,17763
 Fiesta,2017,Manual,14826,Petrol,31,59.3,1.0,8358
 Fiesta,2016,Manual,15738,Petrol,30,57.7,1.0,9412
 Kuga,2014,Manual,19634,Diesel,145,55.0,1.5,13008
 Fiesta,2018,Manual,27544,Petrol,0,65.9,1.5,9433
 Kuga,2017,Manual,35146,Diesel,145,67.1,1.5,12539
 Mondeo,2016,Automatic,22305,Electric,2,66.9,2.0,13735
 EcoSport,2019,Manual,2832,Petrol,145,50.5,1.0,17138
 Focus,2018,Manual,17104,Diesel,145,65.2,1.0,12724
 B-MAX,2010,Manual,11080,Petrol,204,48.2,1.6,2942
 Edge,2018,Semi-Auto,56433,Diesel,146,38.5,2.0,18612
 S-MAX,2016,Automatic,33665,Diesel,126,58.0,2.0,14058
 Fiesta,2015,Manual,30677,Petrol,157,47.5,1.6,7057
 Mondeo,2017,Automatic,25952,Hybrid,0,59.2,2.0,11207
 Mondeo,2016,Automatic,13938,Electric,0,68.1,2.0,16112
 C-MAX,2014,Manual,67041,Diesel,33,65.1,1.6,8860
 Kuga,2017,Semi-Auto,29989,Diesel,146,59.8,2.0,15259
 Kuga,2021,Semi-Auto,2015,Diesel,145,51.4,2.0,32750
 C-MAX,2016,Manual,19501,Petrol,123,58.0,1.0,10583
 Mondeo,2019,Automatic,1907,Hybrid,144,61.7,2.0,17037
 EcoSport,2019,Automatic,2784,Petrol,145,52.0,1.0,18668
 Mondeo,2019,Automatic,8095,Hybrid,144,50.7,2.0,23255
 Streetka,2009,Automatic,19237,Petrol,270,39.7,1.6,495
 Grand Tourneo Connect,2019,Semi-Auto,2312,Diesel,145,30.6,1.5,18114
 Puma,2019,Manual,1829,Petrol,144,49.6,1.0,35482
 Fiesta,2018,Manual,27387,Petrol,30,66.8,1.0,7643
 Puma,2020,Manual,4087,Petrol,144,51.3,1.0,18575
 Fiesta,2017,Manual,25314,Petrol,146,58.6,1.0,14264
 S-MAX,2018,Semi-Auto,28076,Diesel,146,38.1,2.0,15543
 Kuga,2018,Automatic,22366,Petrol,145,41.5,1.5,14926
 Fiesta,2014,Manual,53270,Petrol,145,38.0,1.0,10743
 S-MAX,2016,Manual,37639,Diesel,125,54.2,2.0,14339
 Grand C-MAX,2019,Manual,1847,Petrol,145,61.1,1.0,21015
 S-MAX,2017,Semi-Auto,27954,Diesel,145,54.0,2.0,16896
 Fiesta,2018,Manual,31052,Petrol,145,49.1,1.0,10396
 Focus,2015,Automatic,9612,Diesel,30,59.0,1.5,7681
 C-MAX,2010,Manual,40044,Petrol,24,69.1,1.5,6662
 Kuga,2013,Manual,28085,Diesel,21,64.0,1.5,9735
 Focus,2017,Manual,35436,Diesel,24,69.7,1.0,11614
 Fiesta,2018,Semi-Auto,31635,Diesel,1,61.1,1.5,11701
 C-MAX,2017,Semi-Auto,14955,Petrol,152,50.7,1.0,10239
 Fiesta,2018,Manual,10789,Petrol,151,48.5,1.0,16106
 S-MAX,2017,Automatic,25753,Diesel,145,57.4,2.0,16052
 B-MAX,2013,Manual,38321,Petrol,154,45.0,1.6,7244
 Focus,2018,Manual,16636,Petrol,145,58.7,1.0,15928
 Mondeo,2017,Manual,24547,Petrol,21,66.3,1.6,11931
 Focus,2018,Manual,9629,Petrol,144,52.1,1.0,11686
 Kuga,2019,Automatic,2109,Diesel,149,48.8,1.5,16369
 Fiesta,2015,Manual,27791,Petrol,23,65.7,1.6,7621
 Mondeo,2017,Automatic,27458,Diesel,204,57.4,2.0,16168
 Fusion,2008,Manual,145779,Petrol,211,34.3,1.6,495
 Fiesta,2017,Manual,9840,Petrol,145,54.1,1.0,7085
 Fiesta,2018,Manual,31273,Petrol,32,74.2,1.1,7836
 KA,2019,Manual,2115,Petrol,145,30.0,1.5,15895
 Mondeo,2014,Automatic,118216,Hybrid,241,65.1,2.0,2273
 Kuga,2017,Manual,35594,Diesel,145,68.2,1.5,13697
 C-MAX,2016,Manual,40243,Diesel,30,69.9,1.5,10041
 Mustang,2017,Semi-Auto,702,Petrol,145,38.5,1.0,21238
 EcoSport,2019,Automatic,21821,Petrol,145,45.8,1.0,12719
 Kuga,2014,Automatic,74370,Petrol,246,41.9,1.6,3503
 Focus,2019,Manual,9894,Petrol,145,56.0,1.0,9347
 C-MAX,2016,Manual,9705,Diesel,21,65.3,1.5,12395
 Tourneo Connect,2019,Manual,4582,Petrol,149,38.2,1.5,14804
 EcoSport,2018,Manual,509,Petrol,145,50.5,1.0,9181
 Mustang,2020,Semi-Auto,3612,Petrol,145,22.9,2.8,37366
 Edge,2019,Manual,5833,Diesel,152,41.5,2.0,37004
 Kuga,2019,Manual,30264,Diesel,126,58.6,2.0,17660
 Mondeo,2018,Manual,30510,Petrol,145,57.6,1.0,13303
 Focus,2019,Manual,25137,Petrol,153,58.3,1.0,16898
 B-MAX,2018,Manual,37011,Petrol,145,64.0,1.0,8420
 Fiesta,2018,Manual,17794,Petrol,145,64.0,1.1,8956
 Kuga,2017,Semi-Auto,25731,Diesel,145,54.6,2.0,15111
 Mondeo,2016,Automatic,19450,Electric,3,68.8,2.0,15968
 Kuga,2018,Semi-Auto,2672,Diesel,144,32.7,1.5,16825
 Kuga,2017,Manual,12755,Diesel,145,54.7,2.0,19311
 Kuga,2018,Manual,9324,Diesel,145,54.6,1.5,15666
 EcoSport,2015,Automatic,14317,Petrol,153,49.0,1.5,14612
 Fiesta,2015,Manual,11547,Petrol,145,54.4,1.2,8497
 Grand C-MAX,2015,Automatic,37973,Diesel,204,56.9,1.5,13368
 EcoSport,2017,Manual,4590,Petrol,146,51.6,1.0,11497
 Kuga,2018,Semi-Auto,14267,Diesel,144,54.6,1.5,15992
 Grand C-MAX,2016,Automatic,36179,Diesel,34,65.8,1.5,12865
 Fiesta,2020,Manual,2026,Petrol,144,54.9,1.5,11107
 Fiesta,2018,Manual,23967,Petrol,145,58.2,1.1,14359
 Ka+,2018,Manual,20917,Petrol,146,47.4,1.2,6943
 Fiesta,2018,Manual,36524,Petrol,145,65.3,1.0,9234
 Tourneo Custom,2019,Manual,18081,Diesel,144,40.2,2.0,20932
 C-MAX,2015,Manual,85700,Diesel,23,65.6,1.6,6195
 Kuga,2016,Manual,38864,Diesel,28,58.0,2.0,11849
 Mondeo,2019,Manual,35172,Petrol,145,63.2,2.0,18514
 Mondeo,2019,Semi-Auto,3585,Hybrid,143,47.3,2.0,23882
 Tourneo Connect,2018,Manual,11147,Diesel,145,57.2,1.5,15535
 EcoSport,2018,Automatic,20263,Petrol,153,49.8,1.0,13102
 Kuga,2018,Manual,14867,Diesel,145,48.7,2.0,13004
 Grand Tourneo Connect,2017,Automatic,2833,Diesel,145,54.6,1.5,17183
 Kuga,2016,Automatic,63590,Diesel,1,65.9,1.5,14812
 Kuga,2018,Automatic,19787,Petrol,145,57.9,2.0,23591
 Fiesta,2017,Semi-Auto,27785,Petrol,145,47.0,1.6,7457
 Mondeo,2009,Manual,64170,Diesel,203,43.7,2.0,966
 Kuga,2017,Semi-Auto,21509,Diesel,145,53.9,2.0,34428
 Fiesta,2013,Manual,39755,Petrol,148,55.9,1.0,8082
 Mondeo,2016,Automatic,85797,Diesel,32,65.7,2.0,6048
 Fiesta,2014,Automatic,47174,Petrol,3,49.6,1.6,8164
 Galaxy,2009,Manual,133277,Diesel,207,33.2,2.0,7540
 Mondeo,2015,Manual,25951,Electric,23,67.1,2.0,14340
 Mondeo,2015,Automatic,27116,Petrol,252,42.5,2.0,3157
 Fiesta,2018,Manual,32753,Petrol,145,64.7,1.0,14773
 Mustang,2017,Manual,3382,Petrol,145,20.8,2.8,40075
 Kuga,2018,Manual,18766,Diesel,145,57.9,1.5,11829
 Kuga,2018,Manual,38264,Diesel,145,55.2,2.0,15018
 Mondeo,2017,Manual,72438,Diesel,146,66.8,2.0,13641
 Fiesta,2016,Manual,13499,Petrol,146,63.0,1.1,10261
 C-MAX,2016,Manual,13162,Petrol,124,59.4,1.0,10167
 EcoSport,2019,Manual,2003,Petrol,145,55.9,1.0,14308
 Kuga,2018,Manual,12186,Diesel,123,55.7,1.0,16475
 Ka+,2018,Manual,17846,Petrol,145,47.1,1.2,6602
 Focus,2017,Manual,30325,Diesel,145,60.1,1.5,10029
 C-MAX,2019,Manual,9815,Petrol,153,47.6,1.2,9611
 Fusion,2001,Automatic,119199,Petrol,211,29.8,1.5,495
 EcoSport,2019,Semi-Auto,4013,Petrol,145,39.2,2.2,15601
 Kuga,2016,Automatic,9900,Diesel,145,57.8,2.0,11112
 EcoSport,2017,Semi-Auto,8866,Diesel,145,54.2,2.0,18920
 Ka+,2018,Manual,14688,Petrol,145,46.8,1.2,6091
 B-MAX,2018,Manual,11857,Petrol,125,37.6,1.1,9511
 Kuga,2018,Manual,13186,Diesel,145,55.1,2.0,14022
 Ka+,2018,Manual,29501,Petrol,145,57.6,1.2,5313
 Kuga,2018,Automatic,17010,Diesel,145,38.6,1.5,17157
 Mondeo,2019,Automatic,4862,Hybrid,144,44.8,2.0,25219
 Galaxy,2016,Automatic,25548,Diesel,127,54.6,2.0,18176
 Edge,2017,Semi-Auto,27242,Diesel,146,47.1,2.0,18163
 Kuga,2019,Semi-Auto,10099,Diesel,145,31.0,2.0,39033
 Focus,2017,Automatic,19146,Petrol,151,46.1,1.0,14045
 Focus,2018,Automatic,8859,Petrol,145,41.4,1.5,17625
 Tourneo Custom,2018,Automatic,8122,Diesel,146,20.8,2.0,17314
 Focus,2013,Automatic,20725,Petrol,158,37.0,1.6,5291
 C-MAX,2016,Manual,28205,Diesel,20,66.4,1.5,6697
 Ka+,2017,Manual,8222,Petrol,145,59.5,1.2,10644
 Mondeo,2017,Automatic,37083,Hybrid,223,42.7,2.0,15207
 Fiesta,2015,Manual,18468,Petrol,125,59.4,1.0,8422
 KA,2017,Manual,71101,Petrol,31,55.5,1.2,1896
 Ka+,2018,Manual,31861,Petrol,144,48.2,1.2,11736
 Grand Tourneo Connect,2019,Automatic,4339,Diesel,145,52.4,1.5,21166
 Focus,2017,Manual,34688,Diesel,145,74.7,1.5,11619
 Focus,2018,Automatic,11863,Petrol,145,37.5,1.5,13591
 KA,2009,Manual,47720,Petrol,31,57.0,1.2,2913
 Kuga,2016,Semi-Auto,33090,Diesel,145,61.4,2.0,16865
 KA,2013,Manual,27892,Petrol,29,35.6,1.2,2619
 Fiesta,2017,Manual,14360,Petrol,0,66.3,1.5,13022
 Focus,2018,Automatic,10346,Petrol,145,59.5,1.0,9296
 Kuga,2018,Semi-Auto,9538,Diesel,145,60.4,2.0,14765
 Fiesta,2016,Manual,36203,Petrol,2,66.6,1.0,7824
 C-MAX,2016,Manual,25487,Petrol,1,60.9,1.0,9149
 Focus,2018,Automatic,13884,Diesel,145,72.3,1.5,14998
 Focus,2016,Manual,14619,Petrol,125,58.9,1.0,11489
 Tourneo Connect,2018,Semi-Auto,495,Diesel,145,59.0,1.5,17911
 B-MAX,2016,Manual,13477,Petrol,21,65.6,1.0,9471
 Focus,2019,Manual,3437,Petrol,154,51.9,1.0,11065
 Focus,2018,Manual,12545,Petrol,145,60.6,1.0,12071
 C-MAX,2015,Manual,71162,Diesel,24,65.3,1.6,6522
 Fiesta,2018,Manual,11924,Petrol,145,64.6,1.0,9981
 Galaxy,2016,Automatic,27784,Diesel,126,56.8,2.0,14007
Focus,2018,Manual,9645,Petrol,145,59.9,1.0,16875
 Fusion,2008,Automatic,83410,Petrol,208,20.8,1.4,1490
 Fiesta,2018,Manual,30688,Petrol,145,56.3,1.0,10171
 Focus,2018,Automatic,8436,Petrol,145,52.3,1.5,11803
 Escort,2013,Manual,25587,Petrol,30,54.7,1.7,9194
 Fiesta,2018,Manual,14834,Petrol,145,59.9,1.0,10735
 Kuga,2018,Automatic,13871,Petrol,152,43.3,1.0,18422
 Kuga,2017,Semi-Auto,18307,Diesel,150,28.1,2.0,26421
 Fiesta,2018,Manual,14248,Petrol,147,67.2,1.0,12317
 C-MAX,2016,Manual,16844,Petrol,31,56.6,1.0,15110
 Ka+,2017,Manual,11456,Petrol,145,54.3,1.2,9759
 Tourneo Custom,2019,Manual,9680,Diesel,145,35.4,2.0,19844
 B-MAX,2016,Manual,32055,Petrol,21,58.2,1.0,10310
 Kuga,2019,Manual,808,Diesel,145,46.7,2.0,18851
 Kuga,2017,Automatic,7643,Diesel,250,44.9,2.0,17936
 Grand C-MAX,2015,Manual,41540,Diesel,31,64.9,1.5,7319
 KA,2017,Manual,29591,Petrol,29,58.6,1.2,3651
 Grand C-MAX,2017,Manual,24495,Petrol,145,57.4,1.0,14838
 Fiesta,2016,Manual,23480,Petrol,124,66.9,1.0,10215
 Kuga,2019,Automatic,5532,Diesel,243,37.8,1.5,1804
 Focus,2019,Semi-Auto,7024,Petrol,152,54.0,1.5,17231
 S-MAX,2019,Automatic,16406,Petrol,145,53.1,1.0,15431
 S-MAX,2018,Manual,40881,Diesel,145,54.1,1.5,24949
 Puma,2020,Manual,1,Petrol,147,51.5,1.0,21848
 Kuga,2017,Manual,15630,Petrol,155,54.4,1.5,12712
 Fiesta,2015,Manual,35208,Petrol,0,64.5,1.0,7505
 Mondeo,2019,Automatic,3911,Hybrid,144,42.4,2.0,22183
 Kuga,2010,Semi-Auto,113791,Hybrid,153,49.3,2.0,3781
 Fiesta,2014,Manual,52187,Diesel,2,64.3,1.5,6998
 KA,2013,Manual,2323,Petrol,32,57.9,1.2,4295
 Focus,2017,Manual,89132,Diesel,29,61.5,1.5,18038
 Kuga,2017,Semi-Auto,13143,Diesel,145,60.9,2.0,15676
 Fiesta,2019,Manual,10671,Petrol,145,47.2,1.0,17149
 Fiesta,2018,Automatic,26758,Petrol,145,37.6,1.6,10928
 Kuga,2016,Semi-Auto,25056,Diesel,124,59.7,2.0,25401
 Kuga,2018,Manual,10081,Diesel,145,54.7,1.5,16000
 Kuga,2013,Manual,91761,Diesel,30,54.8,1.5,12645
 KA,2016,Manual,28623,Petrol,32,58.8,1.0,5226
 C-MAX,2016,Automatic,38009,Diesel,0,68.0,1.5,7553
 Fiesta,2018,Manual,53040,Petrol,146,59.5,2.3,9149
 Mondeo,2016,Automatic,73318,Other,124,59.6,2.0,6606
 Focus,2017,Manual,3158,Petrol,126,59.7,1.2,9309
 Fiesta,2009,Manual,72508,Petrol,158,54.7,1.6,3851
 Kuga,2018,Semi-Auto,25459,Diesel,145,54.1,2.0,13104
 B-MAX,2015,Manual,42883,Petrol,2,64.8,1.6,8853
 Kuga,2017,Manual,19369,Diesel,146,65.1,2.0,17255
 Kuga,2017,Automatic,20661,Diesel,146,37.1,1.5,14714
 Focus,2019,Automatic,3627,Petrol,145,50.9,1.0,15506
 Kuga,2021,Semi-Auto,9068,Diesel,145,49.2,2.0,14844
 Streetka,2003,Automatic,128671,Petrol,279,33.1,1.6,495
 Mondeo,2016,Manual,69623,Diesel,22,43.4,1.6,1461
 Mustang,2021,Automatic,1,Petrol,145,37.8,1.5,19041
 Ka+,2016,Manual,3240,Petrol,125,54.2,1.2,9189
 Focus,2019,Automatic,2118,Petrol,145,48.3,1.0,24158
 Fiesta,2018,Manual,9930,Petrol,0,64.3,1.1,7718
 B-MAX,2018,Manual,14919,Petrol,145,57.9,1.0,11315
 Focus,2015,Manual,31155,Diesel,2,65.0,1.5,11628
 Focus,2017,Manual,30721,Diesel,0,82.8,1.5,6819
 Fiesta,2015,Manual,18328,Petrol,152,64.1,1.2,9240
 Fiesta,2018,Manual,2532,Petrol,145,62.1,1.0,11096
 Galaxy,2018,Automatic,37054,Diesel,146,53.3,2.0,18108
 Focus,2019,Manual,28625,Diesel,145,38.9,1.5,17939
 Focus,2014,Manual,44606,Diesel,21,74.4,1.5,7691
 B-MAX,2018,Manual,27033,Petrol,125,54.1,1.2,7525
 Kuga,2018,Manual,23484,Diesel,145,54.8,1.5,15941
 Kuga,2019,Automatic,10133,Hybrid,143,44.0,2.0,29081
 Kuga,2016,Semi-Auto,19617,Diesel,205,47.4,2.0,4268
 Fiesta,2014,Manual,80739,Diesel,2,67.0,1.5,6572
 Fiesta,2016,Manual,26826,Petrol,155,63.6,1.0,9679
 EcoSport,2019,Manual,15997,Petrol,147,59.5,1.0,13678
 Mondeo,2016,Automatic,23179,Electric,0,67.3,2.0,16461
 Fiesta,2018,Manual,33890,Petrol,0,66.5,1.5,8281
 Galaxy,2018,Semi-Auto,9490,Diesel,145,51.0,2.0,19264
 Kuga,2019,Manual,1704,Petrol,144,48.0,1.5,38298
 Focus,2016,Automatic,39810,Diesel,146,52.3,2.0,14709
 Grand C-MAX,2016,Automatic,12634,Diesel,30,64.1,1.5,12134
 Kuga,2013,Automatic,12566,Petrol,251,43.0,1.6,709
 Fiesta,2018,Manual,35818,Petrol,125,66.0,1.0,11593
 Mondeo,2019,Semi-Auto,4715,Hybrid,145,48.0,2.0,18283
 Fiesta,2016,Manual,14769,Petrol,124,57.0,1.2,6141
 Fiesta,2018,Manual,4472,Petrol,145,54.1,1.0,10261
 Focus,2018,Automatic,3471,Petrol,146,43.8,1.0,14715
 Focus,2018,Automatic,18295,Petrol,125,59.8,1.0,9097
 Fiesta,2017,Manual,1910,Petrol,149,58.7,1.0,10121
 B-MAX,2016,Semi-Auto,27941,Petrol,23,59.0,1.6,8499
 Kuga,2019,Manual,14984,Diesel,145,74.3,1.5,15088
 Mondeo,2019,Manual,23181,Diesel,145,63.8,2.0,13884
 B-MAX,2016,Semi-Auto,29781,Diesel,145,60.1,2.0,18300
 Kuga,2019,Automatic,8887,Diesel,145,38.5,1.5,26069
 B-MAX,2019,Semi-Auto,1,Diesel,153,37.7,1.4,20795
 Focus,2019,Manual,3319,Petrol,145,58.8,1.0,8813
 B-MAX,2010,Manual,63748,Diesel,207,34.1,1.6,2614
 Kuga,2015,Manual,30625,Diesel,151,62.1,1.5,7049
 Kuga,2017,Semi-Auto,49461,Diesel,207,49.5,2.0,11584
 Focus,2018,Automatic,13158,Petrol,146,58.5,1.5,15116
 Focus,2010,Automatic,53869,Petrol,252,43.8,1.6,11962
 Focus,2016,Manual,52606,Diesel,2,74.2,2.0,5415
 KA,2017,Semi-Auto,11910,Petrol,149,42.1,1.2,6472
 C-MAX,2016,Manual,25865,Diesel,157,65.6,1.5,9851
 Focus,2019,Automatic,11471,Hybrid,144,67.0,1.5,16668
 Focus,2017,Manual,7110,Petrol,145,57.0,1.0,10353
 Fiesta,2017,Manual,17007,Petrol,20,58.9,1.0,10707
 Mondeo,2019,Automatic,4476,Hybrid,142,33.5,2.0,26114
 C-MAX,2010,Automatic,18605,Diesel,235,47.1,1.0,14985
 Fiesta,2017,Automatic,17730,Diesel,145,40.5,1.5,17978
 KA,2013,Manual,64733,Petrol,30,56.9,1.2,2582
 Kuga,2018,Manual,61275,Diesel,0,75.0,1.5,10285
 Fiesta,2015,Manual,60496,Petrol,0,67.3,1.0,8412
 Kuga,2017,Semi-Auto,18434,Diesel,145,55.2,2.0,27373
 Edge,2019,Manual,34497,Diesel,145,42.6,1.5,15677
 Mondeo,2019,Automatic,5169,Hybrid,142,48.6,2.0,19390
 Mondeo,2019,Automatic,6145,Hybrid,143,48.0,2.0,19717
 Fiesta,2016,Manual,26139,Petrol,23,66.1,1.0,10970
 Mondeo,2019,Automatic,15086,Hybrid,0,49.6,2.0,20620
 Grand Tourneo Connect,2017,Automatic,32627,Diesel,31,58.3,2.0,11767
 Mondeo,2019,Automatic,3628,Hybrid,143,43.0,2.0,26326
 Focus,2016,Manual,31711,Diesel,0,65.5,1.5,7924
 Focus,2019,Manual,2593,Petrol,145,51.8,1.0,21676
 Mondeo,2015,Automatic,73708,Diesel,0,65.1,2.0,6520
 Kuga,2013,Manual,66650,Diesel,1,71.7,1.5,7328
 Kuga,2017,Semi-Auto,28343,Diesel,145,53.6,2.0,16633
 Focus,2018,Manual,9796,Petrol,154,59.3,1.0,18952
 Kuga,2014,Semi-Auto,27923,Diesel,145,58.7,2.0,13696
 Mondeo,2017,Semi-Auto,45616,Diesel,146,50.3,2.0,11614
 Focus,2016,Manual,8929,Petrol,145,59.4,1.0,9822
 Tourneo Custom,2006,Manual,46596,Diesel,207,35.1,1.5,14419
 Focus,2014,Manual,70404,Diesel,0,91.1,1.5,6674
 Fiesta,2018,Automatic,9683,Petrol,145,35.6,1.0,10866
 C-MAX,2013,Manual,25924,Diesel,20,64.0,1.5,6977
 Mondeo,2015,Automatic,22976,Other,0,64.7,2.0,13674
 Fiesta,2017,Manual,30072,Petrol,145,65.1,1.0,9315
 Focus,2017,Manual,11987,Diesel,1,66.6,1.5,18050
 Streetka,2009,Manual,44936,Petrol,214,25.3,1.4,495
 Fiesta,2015,Automatic,67662,Petrol,36,47.2,1.6,7579
 Mustang,2020,Semi-Auto,4276,Petrol,146,29.7,2.8,39342
 Ranger,2005,Manual,11296,Diesel,156,37.2,1.5,9213
 Fiesta,2016,Manual,20028,Petrol,145,64.8,1.0,10034
 Ka+,2016,Manual,8511,Petrol,146,55.2,1.2,6922
 Mustang,2021,Semi-Auto,141,Petrol,145,23.7,2.7,42762
 C-MAX,2017,Manual,33386,Diesel,34,58.4,1.5,9928
 Kuga,2019,Manual,2678,Petrol,152,38.9,1.0,17496
 Ka+,2017,Manual,22957,Petrol,145,53.7,1.0,13932
 Mondeo,2015,Manual,39072,Diesel,0,85.5,1.5,8658
 Kuga,2017,Semi-Auto,19592,Diesel,149,47.8,2.0,31903
 Puma,2019,Manual,1,Petrol,144,52.9,1.0,24728
 Edge,2017,Semi-Auto,31991,Diesel,145,47.6,2.0,17733
 B-MAX,2017,Manual,28088,Petrol,145,57.6,1.0,15805
 C-MAX,2017,Manual,22143,Petrol,125,58.3,1.0,13755
 Mondeo,2019,Manual,5088,Petrol,155,34.9,2.0,15979
 S-MAX,2017,Automatic,24941,Diesel,145,57.0,2.0,14548
 S-MAX,2018,Automatic,675,Diesel,145,32.9,2.0,23361
 B-MAX,2015,Manual,81923,Diesel,21,73.1,1.6,8114
 Fiesta,2018,Manual,12994,Petrol,145,64.8,1.0,10057
 Focus,2016,Automatic,2704,Petrol,153,47.3,1.0,11303
 Puma,2019,Manual,3042,Petrol,143,48.6,1.0,13654
 Tourneo Custom,2009,Manual,57388,Diesel,212,20.8,2.0,1770
 Kuga,2018,Manual,9565,Diesel,145,54.6,2.0,16752
 Grand Tourneo Connect,2016,Manual,85529,Diesel,0,74.8,1.5,12001
 C-MAX,2014,Manual,44421,Diesel,30,54.4,1.6,7997
 Tourneo Custom,2018,Manual,14087,Petrol,146,55.6,2.0,16518
 EcoSport,2016,Manual,28072,Petrol,153,61.5,1.0,15403
 Tourneo Connect,2016,Automatic,29892,Diesel,30,64.3,1.5,10435
 Mondeo,2017,Automatic,103819,Diesel,1,76.8,1.5,11454
 Mondeo,2019,Semi-Auto,50466,Petrol,145,47.3,2.0,14725
 Focus,2016,Manual,29121,Petrol,32,59.4,1.0,9759
 C-MAX,2018,Semi-Auto,19272,Diesel,145,64.3,2.0,16161
 Ranger,2009,Manual,106317,Petrol,244,35.6,1.6,1467
 Mondeo,2019,Automatic,1228,Hybrid,140,40.0,2.0,25984
 Focus,2015,Manual,28000,Petrol,23,42.1,1.6,6358
 S-MAX,2018,Automatic,30477,Diesel,145,62.7,2.0,19405
 Edge,2017,Manual,13621,Diesel,145,54.8,2.0,26252
 Fusion,2007,Manual,138093,Petrol,208,41.0,1.4,1449
 Grand C-MAX,2017,Manual,33241,Diesel,28,65.6,1.5,3212
 Fiesta,2015,Manual,25156,Diesel,1,82.8,1.5,6961
 Focus,2016,Automatic,28960,Petrol,31,52.6,1.5,8237
 Kuga,2018,Manual,46870,Diesel,153,77.0,1.5,12157
 Fiesta,2013,Manual,75227,Petrol,146,48.3,1.6,6281
 Mondeo,2019,Automatic,21341,Hybrid,144,66.4,2.0,14957
 Focus,2018,Manual,8930,Petrol,145,58.4,1.0,12106
 B-MAX,2016,Automatic,17193,Petrol,124,60.0,1.0,8987
 Galaxy,2019,Semi-Auto,2760,Diesel,146,46.7,2.0,22576
 C-MAX,2018,Manual,4544,Petrol,146,55.7,1.0,9450
 C-MAX,2016,Manual,28998,Petrol,145,65.9,1.2,6824
 Kuga,2017,Manual,100857,Diesel,145,59.3,1.5,12324
 Mondeo,2016,Manual,106530,Diesel,126,58.6,2.0,13810
